train;mean;mean;mean;std;std;std;min;min;min;max;max;max
model;MLP-FLS;CNN-FLS;RNN-FLS;MLP-FLS;CNN-FLS;RNN-FLS;MLP-FLS;CNN-FLS;RNN-FLS;MLP-FLS;CNN-FLS;RNN-FLS
program;;;;;;;;;;;;
Chart;405.6761904761905;538.7333333333333;505.9999999999999;244.53609320308732;316.5513240120484;211.46020529841445;153.66666666666666;190.83333333333334;259.42857142857144;728.2857142857143;959.5238095238095;785.8809523809524
Lang;154.88923076923072;401.6553846153846;290.8507692307693;66.70347841488663;184.99085670378358;123.12380548559665;85.4;168.48461538461538;154.73846153846154;244.8153846153846;617.5307692307692;452.4153846153846
Math;476.93399999999986;855.7449999999999;809.5339999999998;196.24049651643082;464.76582628813594;262.60572526177253;253.615;310.445;494.905;730.1;1434.36;1137.685
Mockito;659.0837837837838;700.0567567567568;667.7513513513514;314.90952546956123;338.97525819752104;287.28098219724086;272.3783783783784;311.2027027027027;341.05405405405406;1033.918918918919;1127.1891891891892;1028.1351351351352
Time;1733.4285714285713;1886.5571428571432;1430.3714285714286;511.77714027143395;1073.791701206051;577.0263720402974;1025.142857142857;609.0;807.5714285714286;2300.285714285714;3046.5714285714284;2246.785714285714
Total;446.95869565217384;704.7978260869564;631.3221739130435;192.73533100064938;370.4660546981007;232.0559353895119;223.45;268.61304347826086;362.0369565217391;689.4521739130435;1159.8152173913043;928.0326086956521
Diff;-3.9095652173915028;13.504782608695791;-45.17434782608768;-61.08224731025902;-3.0936819190433766;-14.698431899529112;45.74782608695651;8.958695652173901;-34.75;-88.554347826087;14.008695652173856;-65.13695652173908
Diff %;-0.8671191912802501;1.953553957486118;-6.6776910707469535;-24.065412536336485;-0.8281625710144576;-5.9567058775951836;25.744100412267706;3.4502390301487718;-8.757848368963742;-11.382211504877297;1.2226056831053072;-6.558493010957449
